setting,es,group,centile,rank,final.rank,effective.group
all,-2.47,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.46,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.45,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.44,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.43,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.42,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.41,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.4,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.39,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.38,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.37,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.36,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.35,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.34,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.33,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.32,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.31,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.3,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.29,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.28,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.27,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.26,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.25,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.24,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.23,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.22,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.21,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.2,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.19,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.18,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.17,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.16,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.15,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.14,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.13,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.12,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.11,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.1,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.09,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.08,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.07,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.06,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.05,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.04,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.03,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.02,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.01,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.99,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.98,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.97,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.96,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.95,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.94,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.93,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.92,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.91,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.9,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.89,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.88,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.87,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.86,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.85,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.84,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.83,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.82,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.81,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.8,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.79,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.78,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.77,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.76,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.75,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.74,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.73,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.72,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.71,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.7,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.69,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.68,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.67,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.66,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.65,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.64,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.63,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.62,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.61,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.6,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.59,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.58,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.57,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.56,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.55,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.54,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.53,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.52,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.51,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.5,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.49,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.48,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.47,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.46,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.45,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.44,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.43,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.42,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.41,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.4,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.39,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.38,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.37,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.36,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.35,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.34,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.33,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.32,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.31,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.3,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.29,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.28,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.27,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.26,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.25,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.24,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.23,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.22,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.21,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.2,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.19,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.18,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.17,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.16,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.15,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.14,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.13,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.12,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.11,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.1,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.09,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.08,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.07,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.06,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.05,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.04,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.03,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.02,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1.01,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-1,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.99,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.98,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.97,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.96,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.95,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.94,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.93,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.92,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.91,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.9,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.89,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.88,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.87,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.86,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.85,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.84,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.83,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.82,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.81,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.8,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.79,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.78,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.77,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.76,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.75,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.74,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.73,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.72,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.71,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.7,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.69,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.68,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.67,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.66,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.65,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.64,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.63,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.62,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.61,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.6,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.59,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.58,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.57,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.56,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.55,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.54,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.53,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.52,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.51,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.5,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.49,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.48,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.47,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.46,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.45,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.44,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.43,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.42,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.41,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.4,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.39,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.38,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.37,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.36,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.35,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.34,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.33,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.32,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.31,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.3,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.29,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.28,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.27,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.26,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.25,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.24,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.23,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-0.23,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.22,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.21,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.2,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.19,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.18,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.17,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.16,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.15,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.14,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.13,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.12,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.11,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.1,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.09,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.08,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.07,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.06,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.05,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.04,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.03,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.02,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,-0.01,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.01,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.02,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.03,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.04,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.05,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.06,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.07,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.08,depression,1.43,1.43rd,1.43rd percentile rank,lower (≤25th percentile)
all,0.08,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.09,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.1,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.11,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.12,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.13,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.13,depression,2.14,2.14th,2.14th percentile rank,lower (≤25th percentile)
all,0.14,depression,2.86,2.86th,2.86th percentile rank,lower (≤25th percentile)
all,0.15,depression,2.86,2.86th,2.86th percentile rank,lower (≤25th percentile)
all,0.16,depression,2.86,2.86th,2.86th percentile rank,lower (≤25th percentile)
all,0.16,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
all,0.17,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
all,0.18,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
all,0.19,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
all,0.2,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
all,0.21,depression,3.57,3.57th,3.57th percentile rank,lower (≤25th percentile)
